Price,Close,High,Low,Open,Volume
Ticker,002664.SZ,002664.SZ,002664.SZ,002664.SZ,002664.SZ
Date,,,,,
2025-01-02,13.619999885559082,14.09000015258789,13.460000038146973,14.0600004196167,7978400
2025-01-03,12.920000076293945,13.710000038146973,12.899999618530273,13.680000305175781,7894700
2025-01-06,12.949999809265137,13.170000076293945,12.609999656677246,12.899999618530273,6153500
2025-01-07,13.300000190734863,13.369999885559082,12.890000343322754,12.949999809265137,5720100
2025-01-08,13.300000190734863,13.4399995803833,12.859999656677246,13.220000267028809,6292600
2025-01-09,13.199999809265137,13.350000381469727,13.100000381469727,13.210000038146973,5117300
2025-01-10,14.149999618530273,14.260000228881836,13.0,13.149999618530273,15967700
2025-01-13,15.010000228881836,15.380000114440918,13.619999885559082,13.699999809265137,23725464
2025-01-14,15.140000343322754,15.289999961853027,14.130000114440918,14.5,28297779
2025-01-15,14.6899995803833,14.949999809265137,14.619999885559082,14.90999984741211,14417964
2025-01-16,15.170000076293945,15.649999618530273,15.010000228881836,15.3100004196167,25545278
2025-01-17,14.75,15.09000015258789,14.649999618530273,14.979999542236328,13281473
2025-01-20,15.210000038146973,15.859999656677246,14.920000076293945,15.0,19325137
2025-01-21,15.59000015258789,15.760000228881836,15.130000114440918,15.220000267028809,15057825
2025-01-22,15.420000076293945,15.819999694824219,15.300000190734863,15.539999961853027,11732700
2025-01-23,15.029999732971191,15.699999809265137,15.029999732971191,15.470000267028809,15172864
2025-01-24,15.020000457763672,15.289999961853027,14.880000114440918,14.90999984741211,10237039
2025-01-27,14.239999771118164,14.960000038146973,14.199999809265137,14.850000381469727,13904327
2025-02-05,15.399999618530273,15.65999984741211,14.140000343322754,14.300000190734863,32181110
2025-02-06,16.940000534057617,16.940000534057617,15.229999542236328,15.25,23570524
2025-02-07,16.850000381469727,17.329999923706055,16.3700008392334,17.1299991607666,54450049
2025-02-10,16.899999618530273,17.25,16.549999237060547,17.110000610351562,31074514
2025-02-11,17.610000610351562,17.889999389648438,16.799999237060547,16.8799991607666,34665311
2025-02-12,17.940000534057617,18.520000457763672,17.18000030517578,17.200000762939453,31688055
2025-02-13,17.6299991607666,18.8799991607666,17.59000015258789,18.420000076293945,30019764
2025-02-14,17.90999984741211,18.389999389648438,17.239999771118164,17.389999389648438,26415663
2025-02-17,17.799999237060547,18.0,17.299999237060547,17.790000915527344,28350111
2025-02-18,17.530000686645508,18.350000381469727,17.440000534057617,17.799999237060547,22000515
2025-02-19,19.280000686645508,19.280000686645508,17.56999969482422,17.56999969482422,31595985
2025-02-20,19.15999984741211,19.670000076293945,18.799999237060547,19.09000015258789,32457687
2025-02-21,21.079999923706055,21.079999923706055,19.290000915527344,19.59000015258789,29853165
2025-02-24,20.809999465942383,21.600000381469727,19.389999389648438,21.0,47248959
2025-02-25,21.079999923706055,21.889999389648438,20.0,20.0,29721286
